"Incident Date",State,"City Or County",Address,"# Killed","# Injured",Operations
"June 22, 2016",Washington,Lacey,"500 block of Dutterow Road",3,1,N/A
"June 22, 2016",Georgia,"Dekalb (county)","Lancashire Drive and Central Drive",1,4,N/A
"June 22, 2016",Illinois,Chicago,"3100 block of West Warren",0,4,N/A
"June 21, 2016",Kentucky,Louisville,"2802 Rodman Street",2,2,N/A
"June 21, 2016","New Jersey",Willingboro,"Mosshill Lane",0,4,N/A
"June 19, 2016",Virginia,Roanoke,"2328 Melrose Avenue",0,4,N/A
"June 18, 2016",Virginia,Exmore,"Fredrick Douglas Road",1,3,N/A
"June 18, 2016",Georgia,Waycross,"2625 Arnold Ct",2,2,N/A
"June 18, 2016",Illinois,Chicago,"East 79th Street and South Escanaba Avenue",0,4,N/A
"June 14, 2016",Delaware,Wilmington,"South Van Buren and Elm streets",0,4,N/A
"June 14, 2016",California,Oakland,"1301 Franklin Street",1,3,N/A
"June 13, 2016",California,Fresno,"East El Monte Way and Recreation Avenue",0,4,N/A
"June 13, 2016","New York",Brooklyn,"Avenue D and E. 57th",0,5,N/A
"June 13, 2016",Illinois,Chicago,"3200 block of West Congress",0,5,N/A
"June 12, 2016",Florida,Orlando,"1912 S Orange Avenue",50,49,N/A
"June 11, 2016",Minnesota,Webster,"4000 block of Elmore Avenue",0,4,N/A
"June 11, 2016",California,Stockton,"Alvarado Avenue",1,3,N/A
"June 11, 2016",California,"Panorama City","8500 block of Cedros Avenue",3,2,N/A
"June 11, 2016","New Mexico",Roswell,"2300 block of Davis Ave",5,0,N/A
"June 11, 2016","North Carolina",Charlotte,"4000 block of Collegiate Avenue",1,3,N/A
"June 9, 2016",Florida,"Fort Walton Beach","Landview Drive",0,4,N/A
"June 8, 2016",Massachusetts,Boston,"66 Washington St",1,3,N/A
"June 8, 2016","District of Columbia",Washington,"North Capitol Street and New York Avenue NW",0,4,N/A
"June 6, 2016",California,Visalia,"33 60 South Fairway Street",0,4,N/A
"June 5, 2016",Minnesota,Minneapolis,"8th and Humboldt Avenue N.",0,4,N/A
